0,0,7,300,300,0
0,0,5,300,300,0
0,0,1,300,300,0
0,0,2,300,300,0
0,0,2,300,300,-127
0,0,3,300,300,-127
0,0,6,300,300,-127
0,0,7,300,300,-127
0,0,7,300,300,0
0,0,0,300,300,0
0,0,1,300,300,0
0,0,0,300,300,0
0,0,1,300,300,0
0,0,1,300,300,127
0,0,0,300,300,127
0,0,4,300,300,127
0,0,0,300,300,127
0,0,1,300,300,127
0,0,0,300,300,127
4,0,2,300,300,127
13,4,1,300,300,127
16,6,0,300,300,127
20,8,2,300,300,127
20,8,2,300,300,0
26,7,0,300,300,0
26,7,0,0,0,0
32,9,0,0,0,0
44,13,0,0,0,0
65,23,1,0,0,0
65,23,1,0,0,127
65,23,1,300,300,127
83,34,4,300,300,127
116,49,10,300,300,127
116,49,10,0,0,127
116,49,10,0,0,0
141,60,8,0,0,0
141,60,8,-300,-300,0
143,66,9,-300,-300,0
143,66,9,-300,-300,-127
182,82,8,-300,-300,-127
240,102,12,-300,-300,-127
236,102,11,-300,-300,-127
210,87,12,-300,-300,-127
162,64,6,-300,-300,-127
129,47,3,-300,-300,-127
90,27,0,-300,-300,-127
67,17,0,-300,-300,-127
42,5,0,-300,-300,-127
42,5,0,0,0,-127
42,5,0,0,0,0
29,0,0,0,0,0
20,0,0,0,0,0
20,0,0,0,0,127
20,0,0,300,300,127
13,0,0,300,300,127
10,0,0,300,300,127
8,0,0,300,300,127
10,0,0,300,300,127
7,0,0,300,300,127
5,0,0,300,300,127
4,0,0,300,300,127
0,0,0,300,300,127
0,0,0,300,300,0
0,0,1,300,300,0
0,0,0,300,300,0
0,0,3,300,300,0
0,0,1,300,300,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,3,300,300,0
0,0,0,300,300,0
0,0,1,300,300,0
0,0,0,300,300,0
0,0,4,300,300,0
0,0,0,300,300,0
0,0,3,300,300,0
0,0,1,300,300,0
0,0,0,300,300,0
0,0,1,300,300,0
0,0,2,300,300,0
0,0,2,300,300,127
0,0,1,300,300,127
0,0,3,300,300,127
4,2,5,300,300,127
3,0,8,300,300,127
3,7,8,300,300,127
9,16,11,300,300,127
16,22,13,300,300,127
16,22,13,0,0,127
16,22,13,0,0,0
33,35,18,0,0,0
66,52,19,0,0,0
99,68,27,0,0,0
99,68,27,-300,-300,0
157,105,36,-300,-300,0
157,105,36,-300,-300,-127
226,158,56,-300,-300,-127
268,189,62,-300,-300,-127
276,193,62,-300,-300,-127
239,165,52,-300,-300,-127
187,128,44,-300,-300,-127
141,92,27,-300,-300,-127
100,61,20,-300,-300,-127
78,45,12,-300,-300,-127
55,27,6,-300,-300,-127
55,27,6,0,0,-127
55,27,6,0,0,0
40,15,1,0,0,0
28,7,0,0,0,0
28,7,0,0,0,127
22,4,0,300,300,127
21,1,0,300,300,127
18,0,0,300,300,127
19,2,0,300,300,127
20,0,0,300,300,127
20,2,0,300,300,127
20,0,0,300,300,127
